"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.06.2021","1.371,67","1.371,96","1.374,74","1.351,64","1,95B","-0,12%"
"28.06.2021","1.373,25","1.395,16","1.397,55","1.368,24","2,04B","-1,34%"
"25.06.2021","1.391,86","1.413,99","1.414,88","1.391,69","1,50B","-1,34%"
"24.06.2021","1.410,79","1.405,26","1.416,14","1.405,17","1,77B","0,60%"
"23.06.2021","1.402,35","1.415,44","1.419,77","1.401,32","2,10B","-0,53%"
"22.06.2021","1.409,85","1.402,88","1.411,44","1.394,25","1,75B","0,81%"
"21.06.2021","1.398,52","1.388,20","1.398,52","1.378,34","1,86B","0,54%"
"18.06.2021","1.391,06","1.417,95","1.422,29","1.388,71","2,10B","-1,63%"
"17.06.2021","1.414,15","1.423,00","1.429,23","1.413,58","2,11B","-1,20%"
"16.06.2021","1.431,31","1.441,36","1.444,79","1.431,31","1,74B","-0,78%"
"15.06.2021","1.442,56","1.451,06","1.456,56","1.431,70","2,81B","-0,80%"
"14.06.2021","1.454,25","1.466,57","1.468,95","1.450,67","1,85B","-0,45%"
"11.06.2021","1.460,86","1.461,22","1.464,49","1.455,39","2,23B","0,29%"
"10.06.2021","1.456,68","1.453,24","1.461,97","1.449,64","2,40B","0,52%"
"09.06.2021","1.449,17","1.449,85","1.453,36","1.445,69","2,04B","0,11%"
"08.06.2021","1.447,59","1.447,49","1.453,90","1.443,39","1,95B","0,04%"
"07.06.2021","1.447,08","1.433,96","1.450,55","1.432,64","1,97B","0,99%"
"04.06.2021","1.432,93","1.428,91","1.435,24","1.427,40","1,87B","0,34%"
"03.06.2021","1.428,13","1.434,72","1.441,15","1.411,52","2,64B","-0,18%"
"02.06.2021","1.430,73","1.420,40","1.434,79","1.418,77","2,23B","-0,09%"
"01.06.2021","1.432,04","1.424,47","1.433,55","1.423,00","2,08B","0,81%"
"31.05.2021","1.420,49","1.423,09","1.427,44","1.414,32","2,04B","-0,11%"
"28.05.2021","1.422,06","1.413,12","1.422,80","1.401,25","2,10B","0,50%"
"27.05.2021","1.415,03","1.426,55","1.428,87","1.411,46","2,54B","-0,84%"
"26.05.2021","1.427,06","1.413,12","1.427,06","1.392,87","2,65B","1,92%"
"25.05.2021","1.400,22","1.457,48","1.459,26","1.400,22","3,34B","-3,58%"
"24.05.2021","1.452,18","1.453,69","1.457,77","1.441,70","2,02B","0,02%"
"21.05.2021","1.451,84","1.456,44","1.462,28","1.449,28","1,97B","0,14%"
"20.05.2021","1.449,82","1.451,87","1.454,81","1.439,36","2,33B","-0,67%"
"18.05.2021","1.459,57","1.461,15","1.465,56","1.459,57","2,16B","0,37%"
"17.05.2021","1.454,25","1.446,96","1.455,48","1.445,61","1,99B","0,90%"
"12.05.2021","1.441,33","1.441,41","1.444,98","1.437,66","922,31M","-0,25%"
"11.05.2021","1.444,87","1.447,96","1.455,89","1.438,38","2,48B","-1,10%"
"10.05.2021","1.460,90","1.448,99","1.462,47","1.447,91","2,49B","1,36%"
"07.05.2021","1.441,33","1.432,25","1.444,79","1.423,39","4,00B","0,95%"
"06.05.2021","1.427,73","1.422,56","1.434,72","1.422,56","2,29B","0,54%"
"05.05.2021","1.420,00","1.419,58","1.425,04","1.409,33","1,79B","0,26%"
"04.05.2021","1.416,25","1.423,21","1.428,07","1.411,00","2,28B","-0,34%"
"03.05.2021","1.421,15","1.400,15","1.421,15","1.400,15","1,95B","1,67%"
"30.04.2021","1.397,82","1.399,05","1.405,91","1.396,49","1,84B","-0,26%"
"29.04.2021","1.401,52","1.390,92","1.406,51","1.390,92","1,55B","1,13%"
"28.04.2021","1.385,91","1.391,47","1.394,64","1.379,93","1,69B","-0,44%"
"27.04.2021","1.392,00","1.381,73","1.397,61","1.381,73","1,87B","1,31%"
"26.04.2021","1.374,00","1.343,85","1.374,00","1.343,58","1,95B","2,14%"
"22.04.2021","1.345,15","1.320,16","1.345,50","1.309,23","2,09B","1,10%"
"21.04.2021","1.330,48","1.363,87","1.365,50","1.308,52","2,31B","-2,55%"
"20.04.2021","1.365,27","1.376,37","1.385,88","1.357,26","2,56B","-0,87%"
"19.04.2021","1.377,23","1.409,85","1.416,03","1.377,23","2,49B","-2,20%"
"16.04.2021","1.408,14","1.405,50","1.412,56","1.400,49","2,32B","0,03%"
"15.04.2021","1.407,76","1.409,76","1.418,52","1.398,28","4,19B","-0,10%"
"14.04.2021","1.409,19","1.380,71","1.409,19","1.380,71","2,63B","2,24%"
"13.04.2021","1.378,37","1.380,11","1.386,36","1.352,74","2,86B","0,18%"
"12.04.2021","1.375,91","1.393,47","1.398,12","1.374,67","2,30B","-1,24%"
"09.04.2021","1.393,24","1.413,18","1.414,95","1.373,65","2,87B","-1,65%"
"08.04.2021","1.416,55","1.422,22","1.430,34","1.415,06","2,10B","-0,09%"
"07.04.2021","1.417,89","1.420,94","1.422,48","1.402,36","2,78B","-0,19%"
"06.04.2021","1.420,59","1.442,88","1.445,13","1.419,66","2,65B","-1,49%"
"05.04.2021","1.442,06","1.428,99","1.443,02","1.428,88","2,56B","0,83%"
"02.04.2021","1.430,19","1.434,91","1.438,88","1.423,51","2,19B","0,25%"
"01.04.2021","1.426,56","1.399,34","1.426,56","1.399,34","3,17B","2,50%"
"31.03.2021","1.391,73","1.397,47","1.403,75","1.389,86","2,34B","-0,29%"
"30.03.2021","1.395,79","1.392,84","1.400,77","1.371,43","3,35B","0,23%"
"29.03.2021","1.392,57","1.385,74","1.398,89","1.382,47","2,67B","0,75%"
"26.03.2021","1.382,15","1.409,20","1.412,35","1.359,15","2,95B","-0,88%"
"25.03.2021","1.394,36","1.416,99","1.432,62","1.394,19","3,51B","-1,38%"
"24.03.2021","1.413,86","1.377,37","1.421,93","1.371,72","4,12B","2,64%"
"23.03.2021","1.377,43","1.335,76","1.402,99","1.256,32","5,74B","-0,13%"
"22.03.2021","1.379,25","1.491,99","1.491,99","1.378,56","1,96B","-9,79%"
"19.03.2021","1.528,99","1.548,53","1.553,93","1.511,29","3,19B","-1,41%"
"18.03.2021","1.550,93","1.567,79","1.574,56","1.548,24","3,57B","-0,72%"
"17.03.2021","1.562,11","1.574,78","1.589,47","1.562,11","2,85B","-0,53%"
"16.03.2021","1.570,42","1.561,41","1.572,91","1.557,54","2,17B","0,96%"
"15.03.2021","1.555,47","1.558,78","1.566,39","1.553,49","2,09B","-0,12%"
"12.03.2021","1.557,39","1.558,33","1.561,65","1.549,31","2,62B","0,06%"
"11.03.2021","1.556,49","1.574,58","1.580,03","1.551,88","3,10B","-0,54%"
"10.03.2021","1.564,94","1.551,30","1.565,97","1.551,30","3,00B","1,02%"
"09.03.2021","1.549,15","1.542,04","1.553,23","1.534,99","3,05B","1,23%"
"08.03.2021","1.530,27","1.549,62","1.553,81","1.526,58","3,56B","-0,76%"
"05.03.2021","1.541,98","1.534,40","1.546,08","1.528,47","3,40B","0,26%"
"04.03.2021","1.538,04","1.527,07","1.542,65","1.523,20","3,30B","0,46%"
"03.03.2021","1.531,05","1.538,80","1.553,96","1.526,54","4,18B","0,15%"
"02.03.2021","1.528,82","1.526,36","1.537,46","1.518,51","4,70B","0,09%"
"01.03.2021","1.527,45","1.491,88","1.527,45","1.491,13","3,24B","3,81%"
